,Data
23,"Residential Doors and Frames | D & M Industries Skip to main content D&M Brochure Resources Warranties Careers (800) 437-4305 Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location Press enter to begin your search Close Search D&M IndustriesInterior Doors Interior Doors Panel Interior Doors French Interior Doors Flush Interior Doors Louver Interior Doors Barn Interior Doors Pocket A door of virtually any type or size is available through D&M Industries extensive list of door manufacturers. Our sales staff will carefully review the application and help you choose the correct wood species, door style, finish and special touches. Come and explore your door options at D&M’s showroom. Can’t make it to our showroom? We can provide product literature to help you choose the right door for your needs. D&M IndustriesExterior Doors Exterior Doors Wood Exterior Doors Fiberglass Exterior Doors Steel As homeowners, we understand that your entrance is the first impression of your home for visitors and first line of defense against intruders. D&M Industries has developed relationships with the best exterior door manufacturers in the nation over the past quarter century. In addition to a wide variety of door types and styles, D&M partners with several companies to enhance the look and security of your entry door. These include decorative glass, multi-point security locks and high quality sills and thresholds. D&M’s broad line of exterior door products includes wood, fiberglass and steel doors which can enhance any style or meet any design need. Stop by the showroom or contact our residential sales staff for more information. More InformationDOORS ACCESSORIES © 2023 D & M Industries. | Created by Off The Wall Advertising | Privacy Policy Close Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location D&M Brochure Resources Warranties Careers (800) 437-4305"
24,"Residential Millwork | D & M Industries Skip to main content D&M Brochure Resources Warranties Careers (800) 437-4305 Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location Press enter to begin your search Close Search D&M IndustriesMouldings Base Case Crown & Cove Chair Rail, Panel, & Mantel Mouldings Door & Window Toppers Specialty Mouldings Functional and beautiful millwork may seem like small details to some, but mouldings mean more to D&M. We carry only the highest quality millwork available to enhance your homes beauty and value. We understand some projects require unique designs. D&M carries hundreds of millwork and stair part styles to meet your architectural requirements. We pride ourselves on being able to customize your order in our production facility. D&M IndustriesStairparts Handrails Balusters Newel Posts Treads & Nosing Thresholds & Shoe Rail Functional and beautiful millwork may seem like small details to some, but stairways mean more to D&M. We carry only the highest quality stair parts available to enhance your homes beauty and value. We understand some projects require unique designs. D&M carries hundreds of millwork and stair part styles to meet your architectural requirements. We pride ourselves on being able to customize your order in our production facility. © 2023 D & M Industries. | Created by Off The Wall Advertising | Privacy Policy Close Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location D&M Brochure Resources Warranties Careers (800) 437-4305"
25,"Residential Millwork | D & M Industries Skip to main content D&M Brochure Resources Warranties Careers (800) 437-4305 Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location Press enter to begin your search Close Search D&M IndustriesMouldings Base Case Crown & Cove Chair Rail, Panel, & Mantel Mouldings Door & Window Toppers Specialty Mouldings Functional and beautiful millwork may seem like small details to some, but mouldings mean more to D&M. We carry only the highest quality millwork available to enhance your homes beauty and value. We understand some projects require unique designs. D&M carries hundreds of millwork and stair part styles to meet your architectural requirements. We pride ourselves on being able to customize your order in our production facility. D&M IndustriesStairparts Handrails Balusters Newel Posts Treads & Nosing Thresholds & Shoe Rail Functional and beautiful millwork may seem like small details to some, but stairways mean more to D&M. We carry only the highest quality stair parts available to enhance your homes beauty and value. We understand some projects require unique designs. D&M carries hundreds of millwork and stair part styles to meet your architectural requirements. We pride ourselves on being able to customize your order in our production facility. © 2023 D & M Industries. | Created by Off The Wall Advertising | Privacy Policy Close Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location D&M Brochure Resources Warranties Careers (800) 437-4305"
26,"Residential Millwork | D & M Industries Skip to main content D&M Brochure Resources Warranties Careers (800) 437-4305 Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location Press enter to begin your search Close Search D&M IndustriesMouldings Base Case Crown & Cove Chair Rail, Panel, & Mantel Mouldings Door & Window Toppers Specialty Mouldings Functional and beautiful millwork may seem like small details to some, but mouldings mean more to D&M. We carry only the highest quality millwork available to enhance your homes beauty and value. We understand some projects require unique designs. D&M carries hundreds of millwork and stair part styles to meet your architectural requirements. We pride ourselves on being able to customize your order in our production facility. D&M IndustriesStairparts Handrails Balusters Newel Posts Treads & Nosing Thresholds & Shoe Rail Functional and beautiful millwork may seem like small details to some, but stairways mean more to D&M. We carry only the highest quality stair parts available to enhance your homes beauty and value. We understand some projects require unique designs. D&M carries hundreds of millwork and stair part styles to meet your architectural requirements. We pride ourselves on being able to customize your order in our production facility. © 2023 D & M Industries. | Created by Off The Wall Advertising | Privacy Policy Close Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location D&M Brochure Resources Warranties Careers (800) 437-4305"
27,"Residential Windows | D & M Industries Skip to main content D&M Brochure Resources Warranties Careers (800) 437-4305 Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location Press enter to begin your search Close Search D&M IndustriesWindows Basic Full Bay Marvin Modern Windows do more than let light in; they enhance the comfort and look of your home. D&M partners with only quality window manufacturers which offer standard and custom sized windows to fit any opening. We understand every project is unique. D&M strives to find quality and value when helping you choose the right windows manufacturer for your project regardless of what style you choose. Choose from several different products to create a stunning, high-performance home. Our staff can help you choose from the extensive selection of styles, shapes and options available for your replacement or new construction needs. With so many options out there, don’t leave it to chance. Call D&M for the quality service you expect. Marvin Modern Introducing the Modern line of windows from Marvin available exclusively at D&M Industries. Combine product ingenuity with pure modern aesthetics and the result is truly stunning. The Modern line is made to be built big and perform at scale, complemented by the power of critical design details. Marvin envisioned more performance potential for modern windows and doors. So they developed High-Density Fiberglass, a revolutionary material that echoes the look of its modern counterparts with better thermal efficiency. To learn more, visit Marvin.com/modern, watch a video introducing Marvin Modern, or call Scott Schluchter at 218-287-3100. © 2023 D & M Industries. | Created by Off The Wall Advertising | Privacy Policy Close Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location D&M Brochure Resources Warranties Careers (800) 437-4305"
28,"Prefinishing | D & M Industries Skip to main content D&M Brochure Resources Warranties Careers (800) 437-4305 Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location Press enter to begin your search Close Search Your Finishing Experts SINCE 1965 Let's Get Started! 58 years of prefinishing 49 states serviced 100 employee owned HELPING PEOPLE CREATE BEAUTIFUL SPACES Capital Finishing has been providing prefinishing service since 1965. We’ve prefinished millions of doors, stair parts, closet parts and linear feet of moldings for commercial resale and residential building. The ability to adapt and change with style, trend and color has fueled success throughout the years. Capital’s knowledgeable, experienced and skilled staff ensure the highest quality finish for your project.Our clientele includes door suppliers and manufacturers, millwork and lumber companies as well as large box stores. Our finished products cover residential, hospitality, multi-family housing, assisted living and light commercial sectors. EXPERIENCE AND SERVICE YOU CAN COUNT ON Capital Finishing is dedicated to providing the highest level of customer satisfaction and quality service. We are committed to having a true partnership with our customers by collaborating on projects to execute the highest standard of excellence. Having two production facilities gives Capital Finishing an edge by being able to shift our painting business to either location to meet customer demands. The in-house color matching process provides the right color every time and state of the art equipment is integrated into the door and molding applications to give the highest quality finish available. In addition, Capital’s staff is continuously collaborating with the paint suppliers to improve quality, clarity and finish across a wide range of materials. It is this experience that puts Capital Finishing’s services above the rest. SERVICES Capital Finishing provides superior prefinishing service including priming, painting and staining for virtually any project. While we can prefinish almost any product, we specialize in interior and exterior doors and jambs, molding and trim, cabinet and closet components, stair case parts and boards. We focus on using exceptional coatings so our finishes are durable and long lasting. Customers can choose from a selection of stock colors, have any leading paint or stain manufacturer color matched or request a completely custom color. No matter what we can match your color on almost any material. LOCATIONS Capital Finishing – Belleville 40 Countryside Drive Belleville, WI 53508 Phone: (608) 424-6896 Call Us Capital Finishing – Oregon (formerly Madison PreHung Doors) 4775 County Road B Oregon, WI 53575 Phone: (608) 835-5584 Call Us Want to Get Started? Send Us a Message © 2023 D & M Industries. | Created by Off The Wall Advertising | Privacy Policy Close Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location D&M Brochure Resources Warranties Careers (800) 437-4305"
29,"MWDMN | D & M Industries Skip to main content D&M Brochure Resources Warranties Careers (800) 437-4305 Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location Press enter to begin your search Close Search Your Commercial Window Experts SINCE 2000 Let's Get Started! 23 years in business 49 states serviced 100 employee owned EXPERIENCE ON YOUR SIDE Midwest Window & Door is a seller of several top quality window and door product lines for various types of construction. Our staff averages 20+ years of experience in window sales and installation. As an experienced, reputable company let us bring value to your projects. SERVICES YOU CAN COUNT ON We provide many different services including sales, consulting, specifying, project managing, installation and service on several lines of windows and doors. Specializing In Multi-Family Buildings Senior Living Communities Retro-Fit and Historical Restoration Projects with Sound Transmission Rated Glass Government, Churches, Schools or Buildings requiring Blast or Riot Mitigation Glass LOCATION Midwest Window & Door 2434 Commerce Blvd. Suite 100 Mound, MN 55364 Phone: (952) 472-3924 Call Us Want to Get Started? Send Us a Message © 2023 D & M Industries. | Created by Off The Wall Advertising | Privacy Policy Close Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location D&M Brochure Resources Warranties Careers (800) 437-4305"
30,"MWD_Retrofit_Gallery | D & M Industries Skip to main content D&M Brochure Resources Warranties Careers (800) 437-4305 Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location Press enter to begin your search Close Search SooLine Building - Minneapolis MN Schmidt Brewery - St. Paul MN James J Hill Building - St. Paul MN City Bella - Richfield MN The Groves - Minneapolis MN Historical Renovation & Retrofit Many project suppliers will avoid historical renovations and retro-fit projects because of the additional complications but not Midwest Window & Door! Undertaking a historic building restoration doesn’t have to be a daunting task and our experienced team can help you through the selection of windows that not only maintain the historic look but are also practical and functional. We will work to understand the history of the community to assist in maintaining the building’s original aesthetics and we understand the desire to maintain character and charm. Call us today regarding your commercial, historical renovation. We are here to help! © 2023 D & M Industries. | Created by Off The Wall Advertising | Privacy Policy Close Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location D&M Brochure Resources Warranties Careers (800) 437-4305"
31,"MWD_Multifamily_Gallery | D & M Industries Skip to main content D&M Brochure Resources Warranties Careers (800) 437-4305 Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location Press enter to begin your search Close Search WaHu Student Apartments - St. Paul MN The Paxon - Minneapolis MN The Lakes - Minneapolis MN The Covington - Bloomington MN Skye Apartments - Maple Grove MN Penfield - St. Paul Emanuel House - Minneapolis MN Multi-Family Projects Midwest Window has many years of working with multi-family projects across the Nation. We have the knowledge and experience to help in the selection of the correct windows for the project. No matter the size of your building, we will help find the best style of window meeting quality and value expectations. Midwest Windows offers several lines of windows from several manufacturers. © 2023 D & M Industries. | Created by Off The Wall Advertising | Privacy Policy Close Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location D&M Brochure Resources Warranties Careers (800) 437-4305"
32,"Contact | D & M Industries Skip to main content D&M Brochure Resources Warranties Careers (800) 437-4305 Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location Press enter to begin your search Close Search D&M, Capital Finishing and Midwest Window and Door are ready to help. Have a project in mind? Click Here for Phone Numbers, Office Hours and Closures Contact ""*"" indicates required fields Name* First Last Email* Phone*What Are You Messaging About?*Select ...General RequestDoors/Frames/HardwarePrefinishingResidential WindowsCommercial WindowsMessage*FileMax. file size: 10 MB.CAPTCHAEmailThis field is for validation purposes and should be left unchanged. © 2023 D & M Industries. | Created by Off The Wall Advertising | Privacy Policy Close Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location D&M Brochure Resources Warranties Careers (800) 437-4305"
33,"Make a Payment | D & M Industries Skip to main content D&M Brochure Resources Warranties Careers (800) 437-4305 Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location Press enter to begin your search Close Search Make A Payment Choose Your Payment Type Credit Card Payment All major credit cards are accepted. A card processing fee of approximately 3% applies for all web payments. ACH Payment ACH Payments are made directly from your checking or savings account. There are no fees or or additonal costs to you. © 2023 D & M Industries. | Created by Off The Wall Advertising | Privacy Policy Close Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location D&M Brochure Resources Warranties Careers (800) 437-4305"
34,"About Us | D & M Industries Skip to main content D&M Brochure Resources Warranties Careers (800) 437-4305 Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location Press enter to begin your search Close Search Connecting ideas and reality Our True Passion D&M Industries was incorporated in April 1982. The name D&M was chosen to represent our heritage of doing business in the Dakotas and Minnesota. In the beginning years, D&M specialized in doors, frames and hardware for motels and apartment building. The company started out small with seven employees and was located at 1426 40th Street NW in Fargo ND. In the fall of 1989, D&M was sold to private investors and within one year began diversifying by adding a residential division. With this expansion, windows and a variety of millwork items were added to the product lines. At the same time, the commercial division developed additional business to include more hotel/motel and multi-family projects in areas outside the traditional tri-state region. By 1993 D&M had 25 employees and had exceeded capacity of the 40th Street location. A move to a 20,000 square foot building at 2401 Third Avenue N in Fargo ND was completed. Within the next ten years, D&M expanded into two additional properties in the 2400 block of Third Street. Experts in Quality Products D&M Strives To Help You Not long after the final expansion on Third Street did it become evident the company would be on the move again. This time the move was across the Red River into Minnesota where a great new facility totaling 63,000 square feet took shape in 2006. D&M now had room for the warehouse and production areas in one location which includes an outstanding showroom and office area. In 2014 D&M once again expanded by moving a majority of the warehouse operations into a new 43,000 square foot facility located at 4130 34th Avenue South in Moorhead. This allowed for expansion of the production areas and new equipment to improve quality and increase output. By this time the staff was over 120 employees and the company had diversified into nationwide shipping of product to the same and additional sectors including hospitality, multi-family residential, assisted living, educational institutions and single-family residential. Expanding Services Growing With Our Customers In 2018 D&M finalized its first acquisition and added a prefinishing company to the mix of product and service offerings. Prefinishing was a natural addition to service since more and more projects were requiring the delivery of a prefinished product ready for installation. Capital Finishing came to D&M with two locations. One in Belleville, WI and the other in Oregon, WI. The company had been in the finishing business since 1965 and was a perfect fit as an added service. Capital Finishing can prefinish almost any product but specializes in interior and exterior doors and jambs, molding and trim, cabinet and closet components, staircase parts and boards. In the later parts of the year, the dramatic increase in commercial/multi-family business and awarding of some large contracts once again called for more warehouse space. This time the organization choose to enter into a lease agreement for an additional 13,000 square feet of space close to the main warehouse. The economic pressures of 2021 and price increases along with increased commercial business once again called for more warehouse space. Another 13,000 square feet were leased at the end of 2021 to help ease the overcrowding and improve efficiencies in the warehouse operations. D&M began its 40th year in business in 2022 with 170 employee-owners in Minnesota and Wisconsin and three remote employees in other states across the country. The acquisition of Midwest Window and Door in Mound MN added another dimension to the D&M business portfolio and 7 more employees. Thanks to the great employee-owners, vendors and all of the outstanding and loyal customers, D&M continues to grow. In 2009, D&M provided doors, frames and hardware for a motel project in Alaska! This project gave D&M their 49th state – give us a call Hawaii! D&M can make it happen. © 2023 D & M Industries. | Created by Off The Wall Advertising | Privacy Policy Close Menu Doors/Frames/Hardware/Windows Commercial Portfolio Hospitality Portfolio Corporate Office Portfolio Living Communities Portfolio Doors & Frames Interior Doors Exterior Doors Frames Millwork, Mouldings, & Stairparts Windows Finish Hardware Hardware Electronic Hardware Specialty Items Residential Portfolio Doors & Frames Interior Doors Exterior Doors Millwork Mouldings Stairparts Windows Finish Hardware Prefinishing Midwest Window Historical Renovation/Retrofit Gallery Multi-Family Gallery Contact Make a Payment About Us Leadership Team Office Hours and Holidays Corporate Location D&M Brochure Resources Warranties Careers (800) 437-4305"
