,Data
0,"Dakota Fence - Homepage DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management REQUEST A QUOTE FollowFollowFollow Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions REQUEST A QUOTE FollowFollowFollow Get Locked in for Spring *Guaranteed 2023 Pricing on 2024 Spring Installations Request A Quote Looking For ANew Fence? Request a Quote Residential Commercial Gates Playsets Our Company Dakota Fence is one of the largest full-line fence companies and specialty contractors in the country. At Dakota Fence, we can help with small residential projects, large scale commercial fence installations, and everything in between. Our reputation has been built on taking care of our customers, and you can count on us to complete your project on time, and within budget. Learn More Our Suppliers DFC Company Careers Through the growth of DFC Company and our operating companies, we offer a multitude of career opportunities. We pride ourselves in our work by investing in our Blue Family, equipment, and facilities. Throughout DFC Company, we are committed to growth and leading our companies’ industries in innovation. We offer our employees competitive pay, great benefits, and profit-sharing opportunities. If you’re interested in shaping the infrastructure of your community and joining the Blue Family, a career at DFC Company may be right for you. Our offices are located across North Dakota in Fargo, West Fargo, Bismarck, Minot and Williston, as well as in Brooklyn Park, Minnesota. Join the Blue Family Our Locations FARGO, ND | CORPORATE OFFICE 1110 25th Ave. N. Fargo, ND 58102Phone: 701-237-6181Toll Free: 800-726-4064Email: sales@dakotafence.com BISMARCK, ND MINOT, ND WILLISTON, ND CONTACT US OUR COMPANIES DFC Company Dakota Fence 3D Specialties Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management QUICK LINKS Payments Financing Request A Quote DFC COMPANY CAREERS Join the Blue Family! DFC Company is currently hiring. Check out our open positions and apply today. © 2023 Dakota fence | A Division of DFC Company | TERMS & CONDITIONS | PRIVACY POLICY | Website Designed by OpGo Marketing"
22,"Pipe & Cantilever Gates from Dakota Fence DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management REQUEST A QUOTE FollowFollowFollow Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions REQUEST A QUOTE FollowFollowFollow Cantilever Pipe Commercial Gates Cantilever Pipe slide gates produced by Dakota Fence are the standard commercial slide gates. These gates are fabricated using galvanized round tubing for all parts of the fully welded gate frame. Made from the same galvanized pipe and chain link fabric as the rest of the fence, these gates are the standard for commercial slide gates due to their longevity and easy of use. Ready to Get Started? Request a Quote Our Locations FARGO, ND | CORPORATE OFFICE 1110 25th Ave. N. Fargo, ND 58102Phone: 701-237-6181Toll Free: 800-726-4064Fax: 701-293-7811 BISMARCK, ND MINOT, ND WILLISTON, ND CONTACT US OUR COMPANIES DFC Company Dakota Fence 3D Specialties Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management QUICK LINKS Payments Financing Request A Quote DFC COMPANY CAREERS Join the Blue Family! DFC Company is currently hiring. Check out our open positions and apply today. © 2023 Dakota fence | A Division of DFC Company | TERMS & CONDITIONS | PRIVACY POLICY | Website Designed by OpGo Marketing"
23,"Gate Operators from Dakota Fence DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management REQUEST A QUOTE FollowFollowFollow Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions REQUEST A QUOTE FollowFollowFollow Gate Operators Secure Your Home or Property When you need controlled access within your property, a gate operator from Dakota Fence may be perfect for you. Regulate, track, and secure movement throughout any facility. Gate operators will allow your gate to open and close without you having to do it manually. Whether you are looking for a slide, swing, or barrier electric-operated gate, you can count on us. We have built a reputation based on quality products and dependable service. Ask about our financing options. Ready to Get Started? Request a Quote Our Locations FARGO, ND | CORPORATE OFFICE 1110 25th Ave. N. Fargo, ND 58102Phone: 701-237-6181Toll Free: 800-726-4064Fax: 701-293-7811 BISMARCK, ND MINOT, ND WILLISTON, ND CONTACT US OUR COMPANIES DFC Company Dakota Fence 3D Specialties Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management QUICK LINKS Payments Financing Request A Quote DFC COMPANY CAREERS Join the Blue Family! DFC Company is currently hiring. Check out our open positions and apply today. © 2023 Dakota fence | A Division of DFC Company | TERMS & CONDITIONS | PRIVACY POLICY | Website Designed by OpGo Marketing"
24,"Other Services at Dakota Fence DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management REQUEST A QUOTE FollowFollowFollow Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions REQUEST A QUOTE FollowFollowFollow Other Services Dakota Fence can help assist in a variety of unique projects. From pet kennels to playsets, we have the custom solution to fit your needs. Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Ready to Get Started? Request a Quote Our Locations FARGO, ND | CORPORATE OFFICE 1110 25th Ave. N. Fargo, ND 58102Phone: 701-237-6181Toll Free: 800-726-4064Fax: 701-293-7811 BISMARCK, ND MINOT, ND WILLISTON, ND CONTACT US OUR COMPANIES DFC Company Dakota Fence 3D Specialties Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management QUICK LINKS Payments Financing Request A Quote DFC COMPANY CAREERS Join the Blue Family! DFC Company is currently hiring. Check out our open positions and apply today. © 2023 Dakota fence | A Division of DFC Company | TERMS & CONDITIONS | PRIVACY POLICY | Website Designed by OpGo Marketing"
25,"Fence Repair at Dakota Fence DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management REQUEST A QUOTE FollowFollowFollow Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions REQUEST A QUOTE FollowFollowFollow Fence Repair Fence Repair Dakota Fence is here to help you with your fence repair needs. We build, repair, replace, and upgrade fences. Whether you purchased your fence from us or not, we are here to help. From repairing fence damage from a downed tree to replacing a gate to removing an old fence and installing a brand new one, Dakota Fence is here to serve all of your repair and replacement needs. Ask about our financing options. We Can Help With: Weather Damage Gate Repair & Replacement Cosmetic Repairs Fence Removal & Replacement Ready to Get Started? Request a Quote Our Locations FARGO, ND | CORPORATE OFFICE 1110 25th Ave. N. Fargo, ND 58102Phone: 701-237-6181Toll Free: 800-726-4064Fax: 701-293-7811 BISMARCK, ND MINOT, ND WILLISTON, ND CONTACT US OUR COMPANIES DFC Company Dakota Fence 3D Specialties Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management QUICK LINKS Payments Financing Request A Quote DFC COMPANY CAREERS Join the Blue Family! DFC Company is currently hiring. Check out our open positions and apply today. © 2023 Dakota fence | A Division of DFC Company | TERMS & CONDITIONS | PRIVACY POLICY | Website Designed by OpGo Marketing"
26,"Pet & Dog Kennels from Dakota Fence DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management REQUEST A QUOTE FollowFollowFollow Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions REQUEST A QUOTE FollowFollowFollow Pet & Dog Kennels Protect Your Pets Keep your furry friends safe with a durable fence or kennel from Dakota Fence. We can provide you with the perfect way to keep your pets in a secure place while they run around on your property. Choose a kennel size that’s perfect for your pet. Ask about our financing options. Ready to Get Started? Request a Quote Our Locations FARGO, ND | CORPORATE OFFICE 1110 25th Ave. N. Fargo, ND 58102Phone: 701-237-6181Toll Free: 800-726-4064Fax: 701-293-7811 BISMARCK, ND MINOT, ND WILLISTON, ND CONTACT US OUR COMPANIES DFC Company Dakota Fence 3D Specialties Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management QUICK LINKS Payments Financing Request A Quote DFC COMPANY CAREERS Join the Blue Family! DFC Company is currently hiring. Check out our open positions and apply today. © 2023 Dakota fence | A Division of DFC Company | TERMS & CONDITIONS | PRIVACY POLICY | Website Designed by OpGo Marketing"
27,"Vinyl Playsets from Dakota Fence DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management REQUEST A QUOTE FollowFollowFollow Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions REQUEST A QUOTE FollowFollowFollow Playsets Add Fun to Your Backyard In addition to fencing, Dakota Fence is a premier provider of the highest quality vinyl playsets, perfect for children of all ages. All playsets are completely customizable. Our team will work with you to create the playset of your dreams. For over 50 years, Dakota Fence’s mission is to make your backyard a fun and safe space for your family. We offer multiple designs in a variety of colors plus a multitude of accessories to customize your children’s play experience. Ask about our financing options. Vinyl playsets are five times stronger than traditional wooden play sets. Therefore, each playset is engineered from a safety-first perspective and manufactured with an eye towards durability. Playsets come with a 20-year warranty. Ready to Get Started? Request a Quote Our Locations FARGO, ND | CORPORATE OFFICE 1110 25th Ave. N. Fargo, ND 58102Phone: 701-237-6181Toll Free: 800-726-4064Fax: 701-293-7811 BISMARCK, ND MINOT, ND WILLISTON, ND CONTACT US OUR COMPANIES DFC Company Dakota Fence 3D Specialties Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management QUICK LINKS Payments Financing Request A Quote DFC COMPANY CAREERS Join the Blue Family! DFC Company is currently hiring. Check out our open positions and apply today. © 2023 Dakota fence | A Division of DFC Company | TERMS & CONDITIONS | PRIVACY POLICY | Website Designed by OpGo Marketing"
28,"Metal Fabrication from Dakota Fence DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management REQUEST A QUOTE FollowFollowFollow Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions REQUEST A QUOTE FollowFollowFollow Metal Fabrication Custom Designs For Your Unique Project If you have a unique landscape or simply have a specific design in mind, Dakota Fence is the company for you. We can design and build metal structures to your exact requirements. No job is too big or small for our custom fabrication team. We Can Create: Stairs Railings Custom Fencing Custom Gates Special Projects Ready to Get Started? Request a Quote Our Locations FARGO, ND | CORPORATE OFFICE 1110 25th Ave. N. Fargo, ND 58102Phone: 701-237-6181Toll Free: 800-726-4064Fax: 701-293-7811 BISMARCK, ND MINOT, ND WILLISTON, ND CONTACT US OUR COMPANIES DFC Company Dakota Fence 3D Specialties Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management QUICK LINKS Payments Financing Request A Quote DFC COMPANY CAREERS Join the Blue Family! DFC Company is currently hiring. Check out our open positions and apply today. © 2023 Dakota fence | A Division of DFC Company | TERMS & CONDITIONS | PRIVACY POLICY | Website Designed by OpGo Marketing"
29,"Project Gallery of Dakota Fence DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management REQUEST A QUOTE FollowFollowFollow Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions REQUEST A QUOTE FollowFollowFollow Project Gallery AllAluminumChain LinkCommercialCompositeFabricationGatesResidentialVinylWood Our Locations FARGO, ND | CORPORATE OFFICE 1110 25th Ave. N. Fargo, ND 58102Phone: 701-237-6181Toll Free: 800-726-4064Email: sales@dakotafence.com BISMARCK, ND MINOT, ND WILLISTON, ND CONTACT US OUR COMPANIES DFC Company Dakota Fence 3D Specialties Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management QUICK LINKS Payments Financing Request A Quote DFC COMPANY CAREERS Join the Blue Family! DFC Company is currently hiring. Check out our open positions and apply today. © 2023 Dakota fence | A Division of DFC Company | TERMS & CONDITIONS | PRIVACY POLICY | Website Designed by OpGo Marketing"
30,"Payments at Dakota Fence DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management REQUEST A QUOTE FollowFollowFollow Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions REQUEST A QUOTE FollowFollowFollow Payments Make Your Payment Here  Credit Card Payment  ACH Payment *All major credit cards are accepted. **ACH Payments are made directly from your checking or savings account. There are no fees or additional costs to you. If your payment is over $25,000 please contact us for payment processing. New Customers Please note that all down payments made through this web portal still require a signed contract in order to be scheduled. Please sign and return the contract to the estimator or email a legible signed copy to sales@dakotafence.com. Our Locations FARGO, ND | CORPORATE OFFICE 1110 25th Ave. N. Fargo, ND 58102Phone: 701-237-6181Toll Free: 800-726-4064Email: sales@dakotafence.com BISMARCK, ND MINOT, ND WILLISTON, ND CONTACT US OUR COMPANIES DFC Company Dakota Fence 3D Specialties Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management QUICK LINKS Payments Financing Request A Quote DFC COMPANY CAREERS Join the Blue Family! DFC Company is currently hiring. Check out our open positions and apply today. © 2023 Dakota fence | A Division of DFC Company | TERMS & CONDITIONS | PRIVACY POLICY | Website Designed by OpGo Marketing"
31,"Dakota Fence Company - Our Company DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management REQUEST A QUOTE FollowFollowFollow Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions Residential Vinyl Aluminum Composite Wood Chain Link Steel Molded DIY Fence Materials Commercial Chain Link Aluminum Dumpsters & Enclosures Athletic Fields Security & Prisons Temporary Fence Oil Fields Steel Gates Custom Gates Dakota Gates Cantilever Pipe Gate Operators Other Services Fence Repair Pet & Dog Kennels Playsets Metal Fabrication Project Gallery Payments More Our Company Careers Request A Quote Financing Brochures FAQ Giving Terms & Conditions REQUEST A QUOTE FollowFollowFollow Our Company Dakota Fence is a family-owned business spanning 3 generations. The founders Dave Currier, his brother Dan Currier, and father Dick Currier all joined forces and started the company from their backyard garage in 1972. The family business soon outgrew the garage and transformed into the company you know today. The company’s success in the 1970’s led to the creation of multiple companies along the way. DFC Company became the parent company to Dakota Fence and its five operating companies –Dakota Playground, 3D Specialties, Sign Solutions USA, Park & Play USA, and Town & Country Fence. DFC Company, through its operating companies, sells and installs all types of fencing, traffic control equipment, highway guardrail, commercial playgrounds, park site amenities, signs, and more. In 2015, Joe Currier took over as President and CEO of DFC Company. Joe and his siblings John Currier and Amy Mickelson own DFC Company and steer it into the future. Our offices are located across North Dakota in Fargo, West Fargo, Bismarck, Minot, and Williston, as well as in Brooklyn Park, Minnesota. After all these years, Dakota Fence is still a family business, and we look forward to serving you soon on your next project. Our Locations FARGO, ND | CORPORATE OFFICE 1110 25th Ave. N. Fargo, ND 58102Phone: 701-237-6181Toll Free: 800-726-4064Email: sales@dakotafence.com BISMARCK, ND MINOT, ND WILLISTON, ND CONTACT US OUR COMPANIES DFC Company Dakota Fence 3D Specialties Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management QUICK LINKS Payments Financing Request A Quote DFC COMPANY CAREERS Join the Blue Family! DFC Company is currently hiring. Check out our open positions and apply today. © 2023 Dakota fence | A Division of DFC Company | TERMS & CONDITIONS | PRIVACY POLICY | Website Designed by OpGo Marketing"
32,"Careers at DFC Company DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management DFC Company Dakota Fence 3D Specialities Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management Contact Us FollowFollowFollow Our Company Blog Giving Careers Our Company Blog Giving Careers FollowFollowFollow CONTACT US Careers Through the growth of DFC Company and our operating companies, we offer a multitude of career opportunities. DFC Company is the parent company to Dakota Fence, 3D Specialties, Dakota Playground, Sign Solutions USA, Park & Play USA, Town & Country Fence, International Security Products, and DFC Property Management at various locations. At DFC Company, we pride ourselves in our work by investing in our people, equipment, and facilities. We are committed to growth and leading our companies’ industries in innovation. DFC Company offers our employees competitive pay, great benefits, and long-term career opportunities. See Open Positions Blue Family Values  Safety  Loyalty  Accountability  Teamwork  Innovation  Service  Safety  Loyalty  Accountability  Teamwork  Innovation  Service Company Benefits  Competive Wages  Health Insurance  Vision Insurance  Dental Insurance  401(k) Plan + Match  Short & Long Term Disability  AD&D & Voluntary Life Insurance  Employee Assistance Program  Paid Vacation  Paid Holidays  PaidVolunteer Time Off*  Profit Sharing/Bonus Program*  Competive Wages  AD&D & Voluntary Life Insurance  Health Insurance  PaidVacation  Vision Insurance  PaidHolidays  Dental Insurance  EmployeeAssistance Program  401 (k) Plan+ Match  Paid VolunteerTime Off*  Short & LongTerm Disability  Profit Sharing / Bonus Program* *Eligibility is dependent on position. DFC Academy At DFC Company, we know that purposeful training and continued learning are important parts of what makes our organization and Blue Family team members successful. That’s why we launched DFC Academy by BizLibrary. We are committed to providing our employees with the best possible learning experience so they can enhance their skills and continue to grow within our organization. Our Locations FARGO, ND | CORPORATE OFFICE 1110 25th Ave. N. Fargo, ND 58102Phone: 701-237-6181Toll Free: 800-726-4064Fax: 701-293-7811 CONTACT US OUR COMPANIES DFC Company Dakota Fence 3D Specialties Dakota Playground Sign Solutions USA Park & Play USA Town & Country Fence ISP DFC Property Management DFC COMPANY CAREERS Join the Blue Family! DFC Company is currently hiring. Check out our open positions and apply today. DFC Academy DFC Company Store © 2023 DFC COMPANY All Rights Reserved | PRIVACY POLICY | Website Designed by OpGo Marketing"
